,hardware_model,instrument_name,serial_numbers,transmit_frequency,phased_array,cruise_beg_date,blanking_interval,bin_length,transducer_beam_angle,transmit_pulse_length,comments,bw_from_comments,bw_from_hardware_model,bw_from_transmit_frequency,bandwidth
1729,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-02-01 18:53:55.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///no gaps in POSMV,,,,
1730,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-11-08 15:55:10.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///processed as a group:,broadband,,,broadband
1731,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-11-08 15:55:10.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///processed as a group:,narrowband,,,narrowband
1732,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-11-08 15:52:10.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///processed as a group:,,,,
1733,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-01 22:30:48.000000000,16 m,12 m,30 degrees,13 m,"broadband///Broadband mode///single-ping data files QC'ed then averaged///adjust for transducer location///no gaps in heading correction, no underway bias///OK///no gaps in heading correction, no underway bias",broadband,,,broadband
1734,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-01 22:30:57.000000000,16 m,24 m,30 degrees,24 m,"narrowband///single-ping data files QC'ed then averaged///adjust for transducer location///OK///no gaps in heading correction, no underway bias",narrowband,,,narrowband
1735,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-04-01 22:27:45.000000000,4 m,4 m,30 degrees,4 m,"single-ping data files QC'ed then averaged///OK///no gaps in heading correction, no underway bias",,,,
1736,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-05-16 01:23:15.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///one small gap in posmv heading///OK///one small gap in posmv heading,broadband,,,broadband
1737,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-05-16 01:23:20.999999998,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///one small gap in POSMV///OK///one small gap in posmv heading,narrowband,,,narrowband
1738,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-05-16 01:20:04.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///one small gap in POSMV heading///OK///one small gap in posmv heading,,,,
1739,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-11-10 23:15:44.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///no heading gaps,broadband,,,broadband
1740,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-11-10 23:15:44.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///no heading gaps,narrowband,,,narrowband
1741,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-11-10 23:12:33.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///no heading gaps,,,,
1742,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-12-09 04:00:50.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///no gaps in POSMV,broadband,,,broadband
1743,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-12-09 04:00:50.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///no gaps in POSMV,narrowband,,,narrowband
1744,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-12-09 03:57:51.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///no gaps in POSMV,,,,
1745,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-10-01 17:48:43.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1746,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-10-01 17:48:43.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1747,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-10-01 17:45:43.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///processed as a group:,,,,
1748,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-10-28 18:24:12.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1749,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-10-28 18:24:12.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1750,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-10-28 18:21:12.000000004,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///processed as a group:,,,,
1751,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-12-06 08:23:57.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1752,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-12-06 08:23:57.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1753,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-12-06 08:20:52.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///processed as a group:,,,,
1754,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-04-07 18:09:51.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///some gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1755,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-04-07 18:09:51.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///some gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1756,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-04-07 18:10:09.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///some heading gaps///OK///processed as a group:,,,,
1757,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-04-19 22:12:29.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///some gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1758,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-04-19 22:12:29.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///some gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1759,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-04-19 22:09:30.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///some heading gaps///OK///processed as a group:,,,,
1760,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-05-13 19:46:44.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///some gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1761,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-05-13 19:46:44.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///some gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1762,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-05-13 19:43:44.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///some heading gaps///OK///processed as a group:,,,,
1763,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-12 23:19:15.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1764,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-12 23:19:15.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1765,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-10-12 23:16:09.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no heading gaps///OK///processed as a group:,,,,
1766,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-24 21:25:24.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1767,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-24 21:25:24.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1768,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-11-18 21:38:12.000000004,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///no gaps in posmv heading///OK///processed as a group:,broadband,,,broadband
1769,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-11-18 21:38:12.000000004,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///no gaps in POSMV///OK///processed as a group:,narrowband,,,narrowband
1770,VM-150 Narrowband,VM-150,,,phased array,2009-01-14 08:55:53.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///some scattering layers///scattering layers,,narrowband,,narrowband
1771,Ocean Surveyor 75 narroband,OS-75,,,phased array,2009-01-14 08:56:02.000000000,16 m,16 m,,16 m,single-ping data files QC'ed then averaged///underway bias at the base of profiles starting when the ship///underway bias at the base of profiles starting when the ship,,narrowband,,narrowband
1772,VM-150 Narrowband,VM-150,,,phased array,2009-03-03 01:36:43.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///some scattering layers///strong equatorial scattering layers///strong equatorial scattering layers,,narrowband,,narrowband
1773,Ocean Surveyor 75 narroband,OS-75,,,phased array,2009-03-03 01:36:52.000000000,16 m,16 m,,16 m,single-ping data files QC'ed then averaged///No large POSMV gaps///No large POSMV gaps,,narrowband,,narrowband
1774,VM-150 Narrowband,VM-150,,,phased array,2009-04-09 14:22:48.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///some scattering layers///equatorial scattering layers///equatorial scattering layers,,narrowband,,narrowband
1775,Ocean Surveyor 75 narroband,OS-75,,,phased array,2009-04-09 14:22:57.999999999,16 m,16 m,,16 m,single-ping data files QC'ed then averaged///No large POSMV gaps///No large POSMV gaps,,narrowband,,narrowband
1776,Ocean Surveyor 75 broadband,OS-75,,,phased array,2010-10-15 10:43:43.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///on;y small gaps in heading correction,,broadband,,broadband
1777,Ocean Surveyor 75 narroband,OS-75,,,phased array,2010-10-15 10:43:48.000000000,8 m,16 m,,16 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///on;y small gaps in heading correction,,narrowband,,narrowband
1778,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-10-15 10:40:37.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///only small gaps in heading correction,,,,
1779,Ocean Surveyor 75 broadband,OS-75,,,phased array,2010-11-08 17:36:00.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///only small gaps in heading correction,,broadband,,broadband
1780,Ocean Surveyor 75 narroband,OS-75,,,phased array,2010-11-08 17:36:00.000000000,8 m,16 m,,16 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///only small gaps in heading correction,,narrowband,,narrowband
1781,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-11-08 17:32:49.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///small gaps in heading correction///small gaps in heading correction,,,,
1782,Ocean Surveyor 75 broadband,OS-75,,,phased array,2011-11-06 14:25:35.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///occasional scattering layers///occasional scattering layers,,broadband,,broadband
1783,Ocean Surveyor 75 narroband,OS-75,,,phased array,2011-11-06 14:25:35.000000000,8 m,16 m,,16 m,single-ping data files QC'ed then averaged///occasional scattering layers///occasional scattering layers,,narrowband,,narrowband
1784,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-11-06 14:22:32.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no gaps in heading correction///no gaps in heading correction,,,,
1785,Ocean Surveyor 75 broadband,OS-75,,,phased array,2011-12-13 11:07:56.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///only small gaps in heading correction,,broadband,,broadband
1786,Ocean Surveyor 75 narroband,OS-75,,,phased array,2011-12-13 11:07:56.000000000,8 m,16 m,,16 m,single-ping data files QC'ed then averaged///only small gaps in heading correction///only small gaps in heading correction,,narrowband,,narrowband
1787,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-12-13 11:04:52.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///no gaps in heading correction///no gaps in heading correction?,,,,
1788,VM-150 Narrowband,VM-150,,,phased array,2010-08-21 18:49:56.000000000,4 m,8 m,,8 m,single-ping data files QC'ed then averaged///lots of gaps in Ashtech///lots of gaps in Ashtech,,narrowband,,narrowband
1789,Ocean Surveyor 75 narrowband,OS-75,,,phased array,2010-08-21 18:49:58.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged///lots of gaps in Ashtech///lots of gaps in Ashtech,,narrowband,,narrowband
1790,Ocean Surveyor 75,OS-75,,75 kHz,,2008-12-12 19:28:00.000000000,12 m,8 m,,8 m,ping type broadband///single-ping data files QC'ed then averaged///The Mark 37 gyro relies on manual latitude///no heading gaps///no heading gaps,broadband,,,broadband
1791,Ocean Surveyor 75,OS-75,,75 kHz,,2010-01-02 21:18:12.000000000,8 m,8 m,,8 m,ping type broadband from interleaved///single-ping data files QC'ed then averaged///The Mark 37 gyro relies on manual latitude,broadband,,,broadband
1792,Ocean Surveyor 75,OS-75,,75 kHz,,2010-01-02 21:18:12.000000000,8 m,16 m,,16 m,ping type narrowband from interleaved///single-ping data files QC'ed then averaged///The Mark 37 gyro relies on manual latitude,narrowband,,,narrowband
1793,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-03-14 19:59:38.999999999,8 m,16 m,,16 m,,,narrowband,,narrowband
1794,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2009-04-20 22:22:08.000000000,8 m,8 m,,8.33 m,no heading gaps///no heading gaps,,broadband,,broadband
1795,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-04-20 22:22:08.000000000,8 m,16 m,,16 m,no heading gaps///no heading gaps,,narrowband,,narrowband
1796,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2009-07-11 22:38:59.000000000,8 m,8 m,,8.33 m,,,broadband,,broadband
1797,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-07-11 22:38:59.000000000,8 m,16 m,,16 m,,,narrowband,,narrowband
1798,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2010-03-30 22:19:45.000000000,16 m,8 m,,8.33 m,no gaps in POSMV///no gaps in POSMV,,broadband,,broadband
1799,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2010-03-30 22:19:45.000000000,16 m,16 m,,16 m,no gaps in POSMV///no gaps in POSMV,,narrowband,,narrowband
1800,Ocean Surveyer 75,OS-75,,75 kHz,,2009-09-06 16:05:21.000000000,8 m,8 m,30 degrees,8 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///several ashtech gaps,broadband,,,broadband
1801,Ocean Surveyer 75,OS-75,,75 kHz,,2009-09-06 16:05:21.000000000,8 m,16 m,30 degrees,16 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1802,WorkHorse 300,Workhorse-300,,300kHz,,2009-09-06 16:02:19.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///several ashtech gaps,,,,
1803,Ocean Surveyer 75,OS-75,,75 kHz,,2010-03-05 18:11:34.000000000,8 m,16 m,30 degrees,16 m,narrowband///single-ping data files QC'ed then averaged///OK///3-hr gap at 67.4 (patch should be OK),narrowband,,,narrowband
1804,WorkHorse 300,Workhorse-300,,300kHz,,2010-03-05 18:08:28.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///3-hr gap at 67.4 (patch should be OK),,,,
1805,Ocean Surveyer 75,OS-75,,75 kHz,,2011-09-07 16:37:46.000000000,8 m,8 m,30 degrees,8 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///Ashtech had various gaps; interpolated the heading///OK///Ashtech had various gaps; interpolated the heading,broadband,,,broadband
1806,Ocean Surveyer 75,OS-75,,75 kHz,,2011-09-14 17:26:20.000000000,8 m,16 m,30 degrees,16 m,narrowband///narrowband///single-ping data files QC'ed then averaged///Ashtech had various gaps; interpolated the heading///OK///Ashtech had various gaps; interpolated the heading,narrowband,,,narrowband
1808,OS75 narrowband,OS-75,,75 KHz,,2009-04-22 22:55:34.000000000,8 m,16 m,,16 m,(1) gaps in posmv positions; (reprocess with other gps),,narrowband,,narrowband
1809,OS75 narrowband,OS-75,,75 KHz,,2009-06-11 22:28:52.000000000,8 m,16 m,,16 m,(1) gaps in posmv positions; (reprocess with other gps),,narrowband,,narrowband
1810,OS75 narrowband,OS-75,,75 KHz,,2009-08-25 01:17:12.000000000,8 m,16 m,,16 m,(1) gaps in posmv positions; (reprocess with other gps)///(1) gaps in posmv positions; (reprocess with other gps),,narrowband,,narrowband
1811,OS75 narrowband,OS-75,,75 KHz,,2009-11-10 20:41:55.000000000,8 m,16 m,,16 m,"(1) gaps in posmv positions, but secondary GPS has very bad hdop///(1) gaps in posmv positions, but secondary GPS has very bad hdop",,narrowband,,narrowband
1812,OS75 narrowband,OS-75,,75 KHz,,2010-01-05 19:18:25.000000000,8 m,16 m,,16 m,"(1) gaps in posmv positions, but secondary GPS has very bad hdop///(1) gaps in posmv positions, but secondary GPS has very bad hdop",,narrowband,,narrowband
1813,VM-150 Narrowband,VM-150,,,phased array,2013-01-03 11:03:26.000000000,16m,8m,,8m,original heading alignment:45.58///single pings are QC'ed then averaged///small gaps in heading///small gaps in heading,,narrowband,,narrowband
1814,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2013-01-03 11:05:04.000000000,16 m,24 m,30 degrees,24 m,phased array///The transducer is mounted in a well behind a window made of 1.5-inch///single pings are QC'ed then averaged///small gaps in heading correction///small gaps in heading correction,,,narrowband,narrowband
1815,OS75 narrowband,OS-75,,75 KHz,,2006-05-03 12:47:38.000000000,8 m,16 m,,16 m,posmv,,narrowband,,narrowband
1816,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-08-27 17:39:50.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK,broadband,,,broadband
1817,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-08-27 17:39:50.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK,narrowband,,,narrowband
1818,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-08-27 17:36:50.000000000,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK,,,,
1819,VM-150 narrowband,VM-150,,,,2011-11-03 17:22:51.000000000,8 m,8 m,,8 m,The orientation of the transducer relative///OK,,narrowband,,narrowband
1820,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-12-18 19:19:19.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1821,Ocean Surveyer 38,OS-38,,38kHz,phased array,2011-12-18 19:19:19.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1822,WorkHorse 300,Workhorse-300,,300kHz,phased array,2011-12-18 19:16:20.000000004,4 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///None,,,,
1823,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-03-23 20:14:37.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1824,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-03-23 20:14:37.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1825,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-03-23 20:11:37.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1826,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-06-25 20:04:53.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1827,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-06-25 20:04:53.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1828,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-06-25 20:01:53.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1829,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-07-30 18:52:06.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1830,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-07-30 18:52:06.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1831,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-07-30 18:49:00.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1832,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-08-16 17:48:46.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1833,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-08-16 17:48:46.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1834,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-08-16 17:45:47.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1835,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-09-13 17:46:41.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1836,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-09-13 17:46:41.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1837,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-09-13 17:43:40.999999996,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1838,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-06 17:49:27.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///none,broadband,,,broadband
1839,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-10-06 17:49:27.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///none,narrowband,,,narrowband
1840,WorkHorse 300,Workhorse-300,,300kHz,phased array,2012-10-06 17:46:27.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///none,,,,
1841,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-12-02 17:33:07.999999996,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1842,Ocean Surveyer 38,OS-38,,38kHz,phased array,2012-12-02 17:33:07.999999996,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1843,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-02-11 18:24:38.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1844,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-02-11 18:24:38.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1845,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-03-05 17:32:33.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1846,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-03-05 17:32:33.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1847,WorkHorse 300,Workhorse-300,,300kHz,phased array,2013-03-05 17:29:33.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///gaps in heading correction?,,,,
1848,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2013-04-03 18:02:37.000000000,22 m,8 m,,8.33 m,no gaps in POSMV///gaps in heading correction?,,broadband,,broadband
1849,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2013-04-03 18:02:37.000000000,20 m,16 m,,16 m,no gaps in POSMV///gaps in heading correction?,,narrowband,,narrowband
1850,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-05-16 17:37:37.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1851,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-05-16 17:37:37.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1852,WorkHorse 300,Workhorse-300,,300kHz,phased array,2013-05-16 17:34:34.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///gaps in heading correction?,,,,
1853,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-06-24 17:41:28.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1854,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-06-24 17:41:28.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
1855,WorkHorse 300,Workhorse-300,,300kHz,phased array,2013-06-24 17:38:28.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///gaps in heading correction?,,,,
1856,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-09-10 17:26:58.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1857,Ocean Surveyer 38,OS-38,,38kHz,phased array,2013-09-10 17:26:58.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,narrowband,,,narrowband
